hospital_name,region,department,category,procedure_name,price_min,price_max,vat_included,anesthesia_included,materials_included,remarks,source_url,last_updated
G성형외과,대구 동성로,성형외과,가슴,가슴 지방이식,3000000,5000000,True,Y,Y,허벅지 또는 복부 채취 / 2차 포함 여부 확인 필요,https://example.com/g-clinic,2026-05-30
E성형외과,부산 서면,성형외과,눈,쌍꺼풀(절개),1200000,1800000,True,Y,Y,지방제거 포함,https://example.com/e-clinic,2026-05-30
E성형외과,부산 서면,성형외과,코,코 재수술,4000000,7000000,True,Y,Y,기존 보형물 제거비 포함 / 난이도에 따라 상이,https://example.com/e-clinic,2026-05-30
A성형외과,서울 강남구,성형외과,가슴,가슴확대술(멘토 엑스트라),6500000,8500000,True,N,Y,전신마취비 별도,https://example.com/a-clinic,2026-05-30
A성형외과,서울 강남구,성형외과,가슴,가슴확대술(모티바),8800000,11000000,True,N,Y,전신마취비 30만원 별도 / 압박복 별도,https://example.com/a-clinic,2026-05-30
A성형외과,서울 강남구,성형외과,눈,눈밑지방재배치,1200000,1800000,True,Y,Y,격막강화 포함,https://example.com/a-clinic,2026-05-30
A성형외과,서울 강남구,성형외과,눈,쌍꺼풀(매몰/자연유착),800000,1200000,True,Y,Y,수면마취 포함 / 재수술 50% 할증,https://example.com/a-clinic,2026-05-30
C성형외과,서울 강남구,성형외과,리프팅,안면거상술(풀페이스),9000000,13000000,True,Y,Y,목거상 동시 진행시 추가금 발생,https://example.com/c-clinic,2026-05-30
C성형외과,서울 강남구,성형외과,윤곽,안면윤곽 3종(광대+사각턱+턱끝),12000000,16000000,False,N,Y,VAT 10% 별도 / 입원비 1일 포함 / 피통(Drain) 제거 별도,https://example.com/c-clinic,2026-05-30
D피부과,서울 강남구,피부과,쁘띠,보톡스(국산/주름 1부위),29000,50000,False,N,Y,VAT 별도 / 이마 미간 눈가 중 택1,https://example.com/d-clinic,2026-05-30
D피부과,서울 강남구,피부과,쁘띠,보톡스(제오민/사각턱),150000,200000,False,N,Y,VAT 별도 / 50유닛 기준,https://example.com/d-clinic,2026-05-30
D피부과,서울 강남구,피부과,쁘띠,필러(국산/1cc),90000,150000,False,N,Y,VAT 별도 / 캐뉼라 바늘 사용시 2만원 추가,https://example.com/d-clinic,2026-05-30
H성형외과,서울 강남구,성형외과,리프팅,실리프팅(민트실),800000,1500000,True,Y,Y,실 개수(4줄~8줄)에 따라 가격 상이,https://example.com/h-clinic,2026-05-30
I성형외과,서울 강남구,성형외과,눈,상안검/하안검,1500000,2500000,True,Y,Y,중년 눈성형 특화,https://example.com/i-clinic,2026-05-30
J클리닉,서울 명동,피부과,리프팅,울쎄라(300샷),800000,1100000,False,Y,Y,수면마취 시 10만원 추가 / 정품팁 인증,https://example.com/j-clinic,2026-05-30
J클리닉,서울 명동,피부과,피부,쥬베룩(결절방지/3cc),300000,500000,False,Y,Y,손주사 기준 / 인젝터 사용시 추가금,https://example.com/j-clinic,2026-05-30
B성형외과,서울 서초구,성형외과,코,매부리코 교정술,1000000,2000000,True,Y,Unknown,기본 코성형에 추가되는 비용,https://example.com/b-clinic,2026-05-30
B성형외과,서울 서초구,성형외과,코,코성형(콧대+코끝),2500000,4500000,True,Y,Y,실리콘+귀연골 기준 / 기증늑 사용시 150만원 추가,https://example.com/b-clinic,2026-05-30
F성형외과,서울 신사동,성형외과,체형,지방흡입(복부 전체),3500000,5000000,True,Y,Y,BMI 25 이상 시 30% 할증 / 압박복 15만원 별도,https://example.com/f-clinic,2026-05-30
F성형외과,서울 신사동,성형외과,체형,지방흡입(팔뚝),1800000,2800000,True,Y,Y,부유방 포함 시 추가금,https://example.com/f-clinic,2026-05-30
